Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name,
Manchester City Council,Manchester Leisure,Grant Payments,01.03.2017,1905492157,"£1,126.61",Barlow Moor Community Association,
Manchester City Council,Adult Social Care,Furniture,01.03.2017,5100905999,£583.29,Essential Papers Ltd,
Manchester City Council,Adult Social Care,Storage Costs,01.03.2017,5100904081,"£1,180.80",Apex Self Storage Ltd,
Manchester City Council,Highways Services,Building Materials for direct delivery,01.03.2017,5100906028,£930.21,TARMAC,
Manchester City Council,Highways Services,Building Materials for direct delivery,01.03.2017,5100906040,£772.07,TARMAC,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,01.03.2017,5100906057,"£6,498.66",Wai Yin Society,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,01.03.2017,5100906058,"£2,625.00",Wai Yin Society,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,01.03.2017,5100906060,"£2,424.41",Wai Yin Society,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,01.03.2017,5100906054,"£2,250.00",Wai Yin Society,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,01.03.2017,5100906047,"£5,271.87",Manchester Mental Health & Social C,
Manchester City Council,Manchester Leisure,Grounds Maintenance Costs,01.03.2017,5100906053,"£8,488.06",Redgate Holdings Ltd,
Manchester City Council,Manchester Leisure,Grounds Maintenance Costs,01.03.2017,5100906053,£730.18,Redgate Holdings Ltd,
Manchester City Council,Manchester Leisure,Legal Fees,01.03.2017,5100906000,£700.00,Redacted Personal Information,
Manchester City Council,Regeneration Finance,Car Parking Permits,01.03.2017,5100902528,"£1,085.83",National Car Parks Ltd Season Ticke,
Manchester City Council,Adult Social Care,External repairs and maintenance for buildings,01.03.2017,5100906072,£727.77,Manchester Working Ltd,
Manchester City Council,Hospitality + Trading Services,Funeral and coroner related services,01.03.2017,5100906064,"£2,164.57",Manchester Working Ltd,
Manchester City Council,Insurance Fund,Insurance,01.03.2017,5100906030,£750.00,Redacted Personal Information,
Manchester City Council,Manchester Leisure,Grant Payments,01.03.2017,1905492152,"£1,700.00",Sugar Group,
Manchester City Council,Manchester Leisure,Grant Payments,01.03.2017,1905492154,"£2,575.00",Bennett Street Tenants Association,
Manchester City Council,Manchester Leisure,Grant Payments,01.03.2017,1905492155,£996.20,Friends of Ladybarn Park Group,
Manchester City Council,Chief Executives,Legal Fees,01.03.2017,1905492075,£831.48,Hart Psychological Consulting,
Manchester City Council,Chief Executives,Mobilephone Charges,01.03.2017,1905472925,"£2,682.00",EE / Orange,
Manchester City Council,Adult Social Care,Legal Fees,01.03.2017,5100906002,£800.00,Redacted Personal Information,
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,01.03.2017,5100906044,"£6,757.00",Redacted Personal Information,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,01.03.2017,5100906051,"£7,290.72",M&O Ltd,
Manchester City Council,Chief Executives,Legal Fees,01.03.2017,1905492144,£850.00,Redacted Personal Information,
Manchester City Council,Environment and Operations,Professional fees,02.03.2017,5100906103,£500.00,Oldham Borough Council,
Manchester City Council,Adult Social Care,Training and Development,02.03.2017,5100906383,£567.11,Essential Papers Ltd,
Manchester City Council,Highways Services,Payments to Contractors,02.03.2017,5100906043,"£5,509.84",NSL Ltd,
Manchester City Council,Hospitality + Trading Services,Water Service Charges - Metered,02.03.2017,1905496953,"£1,616.99",United Utilities Water Plc,
Manchester City Council,Adult Social Care,Water Service Charges - Metered,02.03.2017,1905496960,"£2,779.81",United Utilities Water Plc,
Manchester City Council,Adult Social Care,Water Service Charges - Metered,02.03.2017,1905496865,"£2,272.57",United Utilities Water Plc,
Manchester City Council,Adult Social Care,Water Service Charges - Metered,02.03.2017,1905496929,"£1,142.96",United Utilities Water Plc,
Manchester City Council,Adult Social Care,Water Service Charges - Metered,02.03.2017,1905496916,£954.81,United Utilities Water Plc,
Manchester City Council,Adult Social Care,Water Service Charges - Metered,02.03.2017,1905496864,£679.20,United Utilities Water Plc,
Manchester City Council,Adult Social Care,Water Service Charges - Metered,02.03.2017,1905496846,£668.24,United Utilities Water Plc,
Manchester City Council,Adult Social Care,Water Service Charges - Metered,02.03.2017,1905496888,£562.68,United Utilities Water Plc,
Manchester City Council,Adult Social Care,Water Service Charges - Metered,02.03.2017,1905496863,£541.87,United Utilities Water Plc,
Manchester City Council,Adult Social Care,Water Service Charges - Metered,02.03.2017,1905496913,£528.04,United Utilities Water Plc,
Manchester City Council,Regeneration Finance,Water Service Charges - Metered,02.03.2017,1905496882,"£11,755.16",United Utilities Water Plc,
Manchester City Council,Regeneration Finance,Water Service Charges - Metered,02.03.2017,1905496876,"£11,209.64",United Utilities Water Plc,
Manchester City Council,Regeneration Finance,Water Service Charges - Metered,02.03.2017,1905496948,"£10,897.47",United Utilities Water Plc,
Manchester City Council,Regeneration Finance,Water Service Charges - Metered,02.03.2017,1905496924,"£8,753.34",United Utilities Water Plc,
Manchester City Council,Regeneration Finance,Water Service Charges - Metered,02.03.2017,1905496926,"£5,619.76",United Utilities Water Plc,
Manchester City Council,Regeneration Finance,Water Service Charges - Metered,02.03.2017,1905496877,"£4,767.75",United Utilities Water Plc,
Manchester City Council,Regeneration Finance,Water Service Charges - Metered,02.03.2017,1905496922,"£4,501.39",United Utilities Water Plc,
Manchester City Council,Regeneration Finance,Water Service Charges - Metered,02.03.2017,1905496942,"£3,293.15",United Utilities Water Plc,
Manchester City Council,Regeneration Finance,Water Service Charges - Metered,02.03.2017,1905496965,"£2,944.63",United Utilities Water Plc,
Manchester City Council,Regeneration Finance,Water Service Charges - Metered,02.03.2017,1905496860,"£2,511.97",United Utilities Water Plc,
Manchester City Council,Regeneration Finance,Water Service Charges - Metered,02.03.2017,1905496875,"£2,480.87",United Utilities Water Plc,
Manchester City Council,Regeneration Finance,Water Service Charges - Metered,02.03.2017,1905496950,"£2,170.62",United Utilities Water Plc,
Manchester City Council,Regeneration Finance,Water Service Charges - Metered,02.03.2017,1905496849,"£2,165.77",United Utilities Water Plc,
Manchester City Council,Regeneration Finance,Water Service Charges - Metered,02.03.2017,1905496886,"£2,164.88",United Utilities Water Plc,
Manchester City Council,Regeneration Finance,Water Service Charges - Metered,02.03.2017,1905496878,"£1,961.19",United Utilities Water Plc,
Manchester City Council,Regeneration Finance,Water Service Charges - Metered,02.03.2017,1905496947,"£1,765.23",United Utilities Water Plc,
Manchester City Council,Regeneration Finance,Water Service Charges - Metered,02.03.2017,1905496893,"£1,748.41",United Utilities Water Plc,
Manchester City Council,Regeneration Finance,Water Service Charges - Metered,02.03.2017,1905496859,"£1,517.03",United Utilities Water Plc,
Manchester City Council,Regeneration Finance,Water Service Charges - Metered,02.03.2017,1905496955,"£1,350.34",United Utilities Water Plc,
Manchester City Council,Regeneration Finance,Water Service Charges - Metered,02.03.2017,1905496861,"£1,268.33",United Utilities Water Plc,
Manchester City Council,Regeneration Finance,Water Service Charges - Metered,02.03.2017,1905496912,"£1,130.57",United Utilities Water Plc,
