Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name,,,,,
Manchester City Council,Insurance Fund,Insurance,01.07.2015,1904691921,"£35,000.00",Fentons Solicitors Part of,,,,,
Manchester City Council,Corporate Services,Fees,01.07.2015,1904691992,"£15,389.10",Equita Ltd,,,,,
Manchester City Council,Corporate Services,Rents,01.07.2015,1904680044,"£13,706.02",Asda Stores Ltd (Leeds),,,,,
Manchester City Council,Corporate Services,Legal Fees,01.07.2015,1904697746,"£10,110.00",HMCTS (Manchester),,,,,
Manchester City Council,Housing General Fund,Building Works,01.07.2015,1904697559,"£10,027.10",Pollock Lifts Ltd,,,,,
Manchester City Council,Chief Executives,Compensation Payments,01.07.2015,1904698351,"£8,830.00",HMCTS (Manchester County Court),,,,,
Manchester City Council,Corporate Services,Rents,01.07.2015,1904683980,"£8,226.58",Aprirose Ltd,,,,,
Manchester City Council,GMIST (Greater Mcr Integrated),Professional fees,01.07.2015,5100801321,"£8,032.50",Buro Happold Limited,,,,,
Manchester City Council,Insurance Fund,Insurance,01.07.2015,1904691933,"£7,084.45",Department For Work & Pensions,,,,,
Manchester City Council,Adult Social Care,Legal Fees,01.07.2015,1904698349,"£6,165.00",HMCTS (Manchester County Court),,,,,
Manchester City Council,Adult Social Care,Legal Fees,01.07.2015,1904698349,"£6,165.00",HMCTS (Manchester County Court),,,,,
Manchester City Council,Housing General Fund,Building Works,01.07.2015,1904697563,"£5,586.00",Astor-Bannerman (Medical) Ltd,,,,,
Manchester City Council,Housing General Fund,Building Works,01.07.2015,1904697564,"£5,417.00",Stannah Lift Services Ltd,,,,,
Manchester City Council,Corporate Services,Non Housing Rent Receipts,01.07.2015,1904673202,"£5,213.36",Manchester Working Ltd,,,,,
Manchester City Council,Corporate Services,Fees,01.07.2015,1904691990,"£4,799.95",Equita Ltd,,,,,
Manchester City Council,Housing General Fund,Building Works,01.07.2015,1904697572,"£4,144.56",Kier Services Ltd - Maint West,
Manchester City Council,Housing General Fund,Building Works,01.07.2015,1904697573,"£4,107.46",Kier Services Ltd - Maint West,
Manchester City Council,Housing General Fund,Building Works,01.07.2015,1904697560,"£3,879.83",Kier Services Ltd - Maint West,
Manchester City Council,Housing General Fund,Building Works,01.07.2015,1904697567,"£3,853.00",Stannah Lift Services Ltd,
Manchester City Council,Housing General Fund,Building Works,01.07.2015,1904697570,"£3,683.00",Stannah Lift Services Ltd,
Manchester City Council,Housing General Fund,Building Works,01.07.2015,1904697562,"£3,627.37",Kier Services Ltd - Maint West,
Manchester City Council,Housing General Fund,Building Works,01.07.2015,1904697561,"£3,579.80",Kier Services Ltd - Maint West,
Manchester City Council,Chief Executives,Compensation Payments,01.07.2015,1904698349,"£3,550.00",HMCTS (Manchester County Court),
Manchester City Council,Housing General Fund,Building Works,01.07.2015,1904697565,"£3,282.29",FT Finley & Co Ltd,
Manchester City Council,Adult Social Care,Legal Fees,01.07.2015,1904698351,"£2,965.00",HMCTS (Manchester County Court),
Manchester City Council,Housing General Fund,Building Works,01.07.2015,1904697557,"£2,621.00",Stannah Lift Services Ltd,
Manchester City Council,Housing General Fund,Building Works,01.07.2015,1904697569,"£2,389.00",Stannah Lift Services Ltd,
Manchester City Council,Hospitality + Trading Services,Landline Telephone,01.07.2015,1904681457,"£2,212.50",BT PLC,
Manchester City Council,Adult Social Care,Legal Fees,01.07.2015,1904698351,"£2,055.00",HMCTS (Manchester County Court),
Manchester City Council,Adult Social Care,Legal Fees,01.07.2015,1904698351,"£2,055.00",HMCTS (Manchester County Court),
Manchester City Council,Adult Social Care,Legal Fees,01.07.2015,1904698349,"£2,055.00",HMCTS (Manchester County Court),
